SiteCode,CF,MH,Pastures,Peat,TWS,Low.drainage,High.drainage,Mixed.drainage,Alt_mean,Slope_mean,Catchment,Average_d13C
CA,0,67.168,0,25.11,0,1.09,59.22,3.38,444.1,3.8,Gala,-27.38219907
GA01,4.148,15.081,45.457,0,0,22.37,58.2,13.91,330.1,3.1,Gala,-31.48160474
GA02,0,0,0,100,0,3.25,19.04,15.02,497.9,10.6,Gala,-29.96088197
GA03,0,0,0,100,0,9.41,18.25,34.23,444.9,7.9,Gala,-28.91119875
GA04,0,0,0,45.674,0,5.99,33.59,45.33,421.3,9.6,Gala,-27.56834103
GA05,0,23.268,0,0,0,17.44,36.3,45.47,358,8.9,Gala,-29.45358128
GA06,0,0,0,60.23,0,3.12,17.59,25.43,476.8,12,Gala,-29.32341681
GA07,0,60.743,0,24.482,0,3.81,25.72,19.43,468.8,12.5,Gala,-29.07697241
GA08,0,49.559,0,50.441,0,0,15.44,27.55,455.1,10.5,Gala,-27.06392934
GA09,3.387,40.032,21.839,0,0,31.15,33.76,6.54,329.3,1.5,Gala,-32.08246402
GA10,27.721,22.428,16.064,0,0.347,40.49,28.9,26.42,347.2,3.4,Gala,-31.9210167
GA11,24.258,14.225,51.122,0,0.503,10.44,79.02,10.22,342.6,4.2,Gala,-30.77655232
GA12,0,40.177,59.823,0,0,23.06,68.39,5.31,332.2,8.4,Gala,-30.65099251
GA13,0,23.77,60.273,0,0,1.39,76.59,14.23,323.7,7.3,Gala,-31.99032042
GA14,0,0,0,96.877,0,0,14.61,17.28,497.1,13.4,Gala,-29.91661361
GA15,0,12.831,0,87.147,0,0,14,12.06,500.3,2.2,Gala,-29.29775676
GA16,0,83.933,0,0,0,0.04,82.12,0,434.6,15.5,Gala,-32.12488858
GA17,0,36.078,40.801,0,0,0,87.14,0,388,9.5,Gala,-30.98610351
GA18,0,21.699,0,65.249,0,0,37.63,6.48,461.3,14.5,Gala,-28.99299763
GA19,0.008,37.58,42.02,5.06,0,4.19,82.52,5.02,358.1,7.5,Gala,-28.11271663
GA20,0.223,64.43,10.599,1.21,0,0.74,85.46,4.45,341.1,8.4,Gala,-26.46459542
GA21,2.214,0.148,53.655,0,0,20.18,71.68,8.14,290.5,4.1,Gala,-26.82850016
GA22,0,18.546,45.679,0,0,28.51,62.83,2.59,293.4,4.7,Gala,-29.11259742
SB,0,76.073,0,0,0,0,20.5,20.61,574.8,13.1,Upper Tweed,-27.70109869
UTW10,0,7.407,0,0,0.289,0.04,11.9,23.57,380.6,11.2,Upper Tweed,-29.97332332
UTW11,0.007,77.833,0,0,0,0,49.3,25.2,418.6,1.1,Upper Tweed,-28.54528754
UTW12,0,99.524,0.476,0,0,0,25.58,0,283.9,4.9,Upper Tweed,-26.24875514
UTW13,28.401,70.234,0.258,0,0,0,62.46,17.94,459.9,13.4,Upper Tweed,-28.05197574
UTW14,0,100,0,0,0,0,70.79,12.94,517.6,14.9,Upper Tweed,-27.61053967
UTW16,0,92.044,3.683,0,0,1.4,71.71,12.06,450.2,6.8,Upper Tweed,-26.46357591
UTW17,27.882,40.378,10.295,0,4.214,8.13,72.57,15.31,368.5,7.5,Upper Tweed,-29.99754095
UTW18,0,47.598,0,0,0,0.85,31.7,35.27,458.6,4.4,Upper Tweed,-30.26332617
UTW19,0,50.621,26.889,0,0,21.63,75.77,2.28,335.1,7.5,Upper Tweed,-28.57567755
UTW20,5.882,0.768,5.867,0,0,34.35,52.08,13.42,343.9,6.2,Upper Tweed,-30.98975147
UTW21,4.299,14.172,39.675,0,0,10.78,78.1,1.07,299.8,8.5,Upper Tweed,-30.47705104
UTW22,11.428,52.102,24.789,0,0,18.3,78.09,0.96,331.3,6.3,Upper Tweed,-30.67651681
UTW23,0.118,2.664,57.488,0,0.707,51.13,43.54,4.04,269.7,5.2,Upper Tweed,-36.86220284
UTW24,14.821,54.904,24.977,0,5.299,31.12,62.28,4.12,328.6,6.2,Upper Tweed,-31.62659513
UTW25,56.177,0.223,0,0,16.195,25.38,32.12,34.28,374.3,9.4,Upper Tweed,-27.71948659
UTW26,0.364,11.922,56.025,2.704,0.827,33.93,50.21,3.84,281.4,4.8,Upper Tweed,-33.5990442
UTW27,12.496,0.928,64.341,0,0.165,15.72,58.51,9.82,300.1,5.2,Upper Tweed,-27.81359768
UTW28,0.041,22.824,61.485,0,9.896,19.29,64.55,2.6,292.1,3.9,Upper Tweed,-30.00438978
UTW29,90.962,4.299,0.247,0.55,3.942,5.96,90.06,3.12,403.9,10.7,Upper Tweed,-29.21828869
UTW30,0,7.466,0,21.908,0,5.39,23.45,37.91,474.1,15.8,Upper Tweed,-30.61925544
UTW31,0,36.117,0,31.821,0,3.04,15.46,37.94,464.9,13.8,Upper Tweed,-27.14256946
UTW32,41.485,2.363,0,51.227,4.925,0,13.61,26.26,519.1,20.4,Upper Tweed,-27.30877298
UTW33,64.394,11.258,0,15.097,4.396,0.21,41.62,29.87,491.6,9.1,Upper Tweed,-28.15238027
UTW34,24.084,65.63,0,3.654,6.632,0,45.25,51.39,382.9,18.2,Upper Tweed,-29.11273798
UTW35,0,12.321,0,14.499,0,0,50.41,31.19,377.3,15.2,Upper Tweed,-28.6708986
UTW36,84.746,15.254,0,0,0,4.95,75.6,12.34,415.1,17.5,Upper Tweed,-28.61806695
UTW37,0,53.743,0,1.626,0,3.38,13.45,51.69,450.5,11.9,Upper Tweed,-30.05732664
