SiteCode,CF,MH,Pastures,Peat,TWS,LD,MD,HD,Alt_mean,Slope_mean,Catchment,Average_d13C
CA,0,100,0,0,0,0,13.96183905,86.03816095,444.1,3.8,Gala,-27.38219907
GA01,0,0,100,0,0,0,23.2488646,76.7511354,330.1,3.1,Gala,-31.48160474
GA02,0,0,0,100,0,0,42.71404022,36.73803265,497.9,10.6,Gala,-29.96088197
GA03,0,0,0,100,0,0,31.98556254,16.14959845,444.9,7.9,Gala,-28.91119875
GA04,0,0,0,0,0,0.017191447,38.84649801,61.13631054,421.3,9.6,Gala,-27.56834103
GA05,0,28.66881043,0,0,0,0.874400411,48.40216709,50.7234325,358,8.9,Gala,-29.45358128
GA06,0,0,0,0,0,30.94578639,7.52827878,55.95182182,476.8,12,Gala,-29.32341681
GA07,0,44.57687369,0,0,0,14.59593092,15.63828524,68.30655383,468.8,12.5,Gala,-29.07697241
GA08,0,100,0,0,0,0,31.33055809,68.66944191,455.1,10.5,Gala,-27.06392934
GA09,0,0.705187256,99.29481274,0,0,24.58572896,10.11509588,65.29917517,329.3,1.5,Gala,-32.08246402
GA10,36.17744325,53.26683923,10.55571752,0,0,45.38223688,17.55256493,2.264856588,347.2,3.4,Gala,-31.9210167
GA11,0,26.8755997,73.1244003,0,0,0,20.1193027,61.79338758,342.6,4.2,Gala,-30.77655232
GA12,0,39.75519129,60.24480871,0,0,10.57461698,11.26826458,49.45951138,332.2,8.4,Gala,-30.65099251
GA13,0,0,50.97366402,0,0,0,14.96226015,63.01638933,323.7,7.3,Gala,-31.99032042
GA14,0,0,0,79.05622757,0,0,22.62572555,77.37427444,497.1,13.4,Gala,-29.91661361
GA15,0,48.12238142,0,51.87761858,0,0,28.19084418,64.1008532,500.3,2.2,Gala,-29.29775676
GA16,0,42.06638711,0,0,0,0,0,90.00421025,434.6,15.5,Gala,-32.12488858
GA17,0,0,100,0,0,0,0,88.281066,388,9.5,Gala,-30.98610351
GA18,0,92.29029882,0,2.022141533,0,0,20.6284247,79.3715753,461.3,14.5,Gala,-28.99299763
GA19,0,0,68.24351182,0,0,0,19.55006043,80.44993957,358.1,7.5,Gala,-28.11271663
GA20,0,4.12691077,58.68949161,0,0,0,16.91651502,60.85580685,341.1,8.4,Gala,-26.46459542
GA21,0,0,61.58294883,0,0,19.17800123,29.02113253,37.5079152,290.5,4.1,Gala,-26.82850016
GA22,0,0,0,0,0,13.23393372,0,71.73557247,293.4,4.7,Gala,-29.11259742
SB,0,28.16287629,0,0,0,0,33.8345137,43.09476678,574.8,13.1,Upper Tweed,-27.70109869
UTW10,0,0,0,0,0,1.195587301,45.44040353,53.36400916,380.6,11.2,Upper Tweed,-29.97332332
UTW11,0,75.69481644,0,0,0,0,10.20696422,62.43462767,418.6,1.1,Upper Tweed,-28.54528754
UTW12,0,99.45871919,0.541280814,0,0,0,0,26.25123018,283.9,4.9,Upper Tweed,-26.24875514
UTW13,0.129270876,55.70617209,8.359516671,0,0,0,0,100,459.9,13.4,Upper Tweed,-28.05197574
UTW14,0,100,0,0,0,0,0,100,517.6,14.9,Upper Tweed,-27.61053967
UTW16,0,18.44487936,54.92047959,0,0,0,0,69.9471187,450.2,6.8,Upper Tweed,-26.46357591
UTW17,0,0,78.54661076,0,0,8.989984022,15.41377572,75.59624025,368.5,7.5,Upper Tweed,-29.99754095
UTW18,0,32.31608986,0,0,0,11.33961569,43.12702006,45.53336425,458.6,4.4,Upper Tweed,-30.26332617
UTW19,0,0,99.98151913,0,0,1.463489241,19.04129187,21.56328563,335.1,7.5,Upper Tweed,-28.57567755
UTW20,0,0,41.61581757,0,0,3.797794347,15.31869821,52.76038963,343.9,6.2,Upper Tweed,-30.98975147
UTW21,0,0,58.29667159,0,0,23.27351851,0,72.28417823,299.8,8.5,Upper Tweed,-30.47705104
UTW22,0,0,97.53985343,0,0,63.3117272,0,36.68381601,331.3,6.3,Upper Tweed,-30.67651681
UTW23,0,0,80.67847541,0,0,0,13.8539647,48.28466156,269.7,5.2,Upper Tweed,-36.86220284
UTW24,0,0,100,0,0,55.50018338,14.32485492,2.541798805,328.6,6.2,Upper Tweed,-31.62659513
UTW25,34.06753959,0,0,0,0,26.12325719,25.38253589,32.96851351,374.3,9.4,Upper Tweed,-27.71948659
UTW26,0,0,65.52876968,0,0,0,15.29112573,84.70887427,281.4,4.8,Upper Tweed,-33.5990442
UTW27,0,0,100,0,0,0,30.23401713,68.53556183,300.1,5.2,Upper Tweed,-27.81359768
UTW28,0,0,85.48019533,0,0,0,25.59579136,74.40420864,292.1,3.9,Upper Tweed,-30.00438978
UTW29,100,0,0,0,0,9.784192543,0,90.21580746,403.9,10.7,Upper Tweed,-29.21828869
UTW30,0,0,0,0,0,30.74575464,43.06421582,26.19002954,474.1,15.8,Upper Tweed,-30.61925544
UTW31,0,33.52901967,0,0,0,12.36228158,65.50159501,22.13612341,464.9,13.8,Upper Tweed,-27.14256946
UTW32,93.12277607,0,0,0,6.87722393,0,27.53582694,72.46417306,519.1,20.4,Upper Tweed,-27.30877298
UTW33,57.65636898,42.34363102,0,0,0,6.334080717,35.45641552,49.8836619,491.6,9.1,Upper Tweed,-28.15238027
UTW34,18.4365481,81.5634519,0,0,0,0,27.43471337,72.56528663,382.9,18.2,Upper Tweed,-29.11273798
UTW35,0,0,0,0,0,0,60.8943345,39.1056655,377.3,15.2,Upper Tweed,-28.6708986
UTW36,100,0,0,0,0,10.09519018,0,87.33719072,415.1,17.5,Upper Tweed,-28.61806695
