SiteCode,CF,MH,Pastures,Peat,TWS,LD,MD,HD,Alt_mean,Slope_mean,Catchment,Average_d13C
CA,0,61.21987464,0,21.94737995,0,4.044844525,17.77964954,52.93400875,444.1,3.8,Gala,-27.38219907
GA01,8.972320489,17.3166208,47.04787795,0,0,30.42467944,29.36762458,25.0573502,330.1,3.1,Gala,-31.48160474
GA02,0,0,0,100,0,2.962736456,9.09452402,51.01108685,497.9,10.6,Gala,-29.96088197
GA03,0,0,0,100,0,6.601521916,1.262179541,30.78861652,444.9,7.9,Gala,-28.91119875
GA04,0,0,0,44.0724671,0,8.121570233,11.60531502,74.45926402,421.3,9.6,Gala,-27.56834103
GA05,0,13.78332008,0,0,0,7.9407457,66.31041553,25.74883877,358,8.9,Gala,-29.45358128
GA06,0,0,0,65.3922296,0,2.930905576,21.57707703,33.9258361,476.8,12,Gala,-29.32341681
GA07,0,71.24616252,0,12.1697908,0,15.17089832,12.0474526,44.63901054,468.8,12.5,Gala,-29.07697241
GA08,0,53.72701471,0,46.27298529,0,0,26.56669009,41.44941876,455.1,10.5,Gala,-27.06392934
GA09,0.073983564,36.24824723,24.7291219,0,0,47.86990915,14.00740067,11.47531319,329.3,1.5,Gala,-32.08246402
GA10,51.43375365,35.96586094,3.895000878,0,0,58.55014693,34.6669611,2.77917759,347.2,3.4,Gala,-31.9210167
GA11,21.1471751,17.78060163,58.96925063,0,0,14.83105548,32.67808803,44.28896035,342.6,4.2,Gala,-30.77655232
GA12,0,42.84315663,57.15684337,0,0,11.64959789,25.00370613,27.79102376,332.2,8.4,Gala,-30.65099251
GA13,0,22.10574618,57.13053145,0,0,0.18112254,0.42428884,58.31903419,323.7,7.3,Gala,-31.99032042
GA14,0,0,0,90.73903549,0,0,33.66465838,15.12062933,497.1,13.4,Gala,-29.91661361
GA15,0,14.82989685,0,85.17010315,0,0,17.95495419,13.98740806,500.3,2.2,Gala,-29.29775676
GA16,0,82.13964426,0,0,0,0,0,67.99884445,434.6,15.5,Gala,-32.12488858
GA17,0,25.9411946,49.04273361,0,0,0,0,63.90232454,388,9.5,Gala,-30.98610351
GA18,0,29.6836171,0,46.39583787,0,0,29.63554284,26.44658177,461.3,14.5,Gala,-28.99299763
GA19,0,32.6847982,47.55707474,3.59171093,0,15.13175858,22.83734501,56.3825681,358.1,7.5,Gala,-28.11271663
GA20,0,60.67852709,12.06444865,0,0,0,21.91104062,55.27202872,341.1,8.4,Gala,-26.46459542
GA21,2.133195349,0,47.66445037,0,0,0.078670804,33.96324046,51.82589259,290.5,4.1,Gala,-26.82850016
GA22,0,11.53786026,56.33469194,0,0,64.78459905,0.286277795,29.69380149,293.4,4.7,Gala,-29.11259742
SB,0,78.11790489,0,0,0,0,39.86528279,24.50596467,574.8,13.1,Upper Tweed,-27.70109869
UTW10,0,0.580413592,0,0,0,0,59.97661418,37.51220099,380.6,11.2,Upper Tweed,-29.97332332
UTW11,0,45.3900208,0,0,0,0,31.41871406,65.74978437,418.6,1.1,Upper Tweed,-28.54528754
UTW12,0,98.42109006,1.578909936,0,0,0,0,82.19577535,283.9,4.9,Upper Tweed,-26.24875514
UTW13,34.94808173,61.11538471,1.248547306,0,0,0,29.67834856,67.53828184,459.9,13.4,Upper Tweed,-28.05197574
UTW14,0,100,0,0,0,0,27.35954803,58.70089743,517.6,14.9,Upper Tweed,-27.61053967
UTW16,0,85.15083619,9.629926069,0,0,0,10.09013563,61.07949497,450.2,6.8,Upper Tweed,-26.46357591
UTW17,19.2534511,28.31576046,19.46878156,0,7.558223404,25.29368788,26.05407053,48.3852367,368.5,7.5,Upper Tweed,-29.99754095
UTW18,0,34.41506664,0,0,0,3.790922104,49.40065567,39.93270074,458.6,4.4,Upper Tweed,-30.26332617
UTW19,0,48.10465348,28.51878534,0,0,34.31100678,9.749847832,42.94310815,335.1,7.5,Upper Tweed,-28.57567755
UTW20,2.570012734,0,8.868972336,0,0,73.94062172,7.527236547,17.54266914,343.9,6.2,Upper Tweed,-30.98975147
UTW21,2.544040399,12.6368107,54.40918879,0,0,27.86832616,5.118080823,37.8362416,299.8,8.5,Upper Tweed,-30.47705104
UTW22,12.20882728,49.58007877,35.91226082,0,0,41.48507596,0.04332622,50.17871454,331.3,6.3,Upper Tweed,-30.67651681
UTW23,0,0,66.28392046,0,0.683641782,0,14.60885354,48.088638,269.7,5.2,Upper Tweed,-36.86220284
UTW24,2.754736362,56.43707375,37.50652284,0,3.301667048,57.80571095,11.84809743,23.87323729,328.6,6.2,Upper Tweed,-31.62659513
UTW25,58.67297169,0.12821479,0,0,13.99582177,50.04007545,1.050176995,26.31677619,374.3,9.4,Upper Tweed,-27.71948659
UTW26,0,15.3364435,65.06992665,0.947068687,0,19.56875578,14.07236415,46.82658447,281.4,4.8,Upper Tweed,-33.5990442
UTW27,8.374910534,0,76.37612396,0,0.079536244,18.27901282,9.561692936,60.20326762,300.1,5.2,Upper Tweed,-27.81359768
UTW28,0,13.80108497,81.24658486,0,3.914839067,7.168125249,9.523367182,76.10338957,292.1,3.9,Upper Tweed,-30.00438978
