Site,d13C,d15N,Catchment
U23,-39.70490589,12.56277994,Upper Tweed
U23,-39.67795845,12.10112459,Upper Tweed
U23,-39.58085592,12.17473405,Upper Tweed
U26,-38.43456609,11.51273706,Upper Tweed
U23,-37.97451879,12.99057041,Upper Tweed
U23,-37.74346585,11.99566356,Upper Tweed
U23,-36.99065009,11.9192911,Upper Tweed
G17,-36.46730836,5.37394071,Gala
U23,-35.80763972,12.4957631,Upper Tweed
G09,-35.64787044,10.39728218,Gala
U23,-35.29261255,12.44615928,Upper Tweed
G10,-34.79557141,9.543438495,Gala
U26,-34.55606964,11.50958864,Upper Tweed
U26,-34.16573936,11.81631204,Upper Tweed
G09,-34.1169512,9.999466076,Gala
G13,-33.99118468,10.0168088,Gala
G13,-33.82344502,9.953494385,Gala
U26,-33.77936789,12.23340606,Upper Tweed
G11,-33.65403614,10.84417396,Gala
G13,-33.593563,10.24087668,Gala
U26,-33.50016645,11.89364022,Upper Tweed
G10,-33.48042508,9.385870534,Gala
U26,-33.40880923,11.23820397,Upper Tweed
G09,-33.30716028,11.26563726,Gala
G01,-33.27589456,11.41847153,Gala
G09,-33.27056585,10.83709985,Gala
G10,-33.20979262,9.244223945,Gala
G16,-33.16936963,7.392282113,Gala
U07,-33.16190997,6.952579716,Upper Tweed
G09,-33.00654888,11.29535825,Gala
G12,-33.00247817,11.07052028,Gala
U07,-32.98413839,7.264077644,Upper Tweed
U05,-32.94678984,6.726827229,Upper Tweed
U23,-32.93588833,13.22488698,Upper Tweed
U24,-32.93291035,9.881074663,Upper Tweed
G01,-32.93274071,11.35830648,Gala
U23,-32.91353285,13.00091153,Upper Tweed
U26,-32.88129614,11.83247018,Upper Tweed
G13,-32.87004263,10.23029937,Gala
U07,-32.82681404,7.330961898,Upper Tweed
U26,-32.78754618,11.48031645,Upper Tweed
U05,-32.72880693,8.962668546,Upper Tweed
U24,-32.69280066,10.24246376,Upper Tweed
G16,-32.66091781,7.545912888,Gala
U24,-32.65370471,9.882433639,Upper Tweed
U24,-32.6489651,9.869443784,Upper Tweed
G16,-32.61479258,8.042828589,Gala
G16,-32.4915443,7.730580949,Gala
U22,-32.47465173,11.75979232,Upper Tweed
G17,-32.44442434,7.942334502,Gala
U01,-32.38177148,9.623609225,Upper Tweed
G10,-32.38111226,9.166856959,Gala
G09,-32.37855512,11.18437429,Gala
G01,-32.37262179,11.1268155,Gala
G01,-32.35182241,11.8158065,Gala
G02,-32.31901296,7.250284466,Gala
G11,-32.31749713,10.55207885,Gala
G01,-32.31225742,11.42467828,Gala
U07,-32.30388216,7.428269016,Upper Tweed
G12,-32.24865887,11.39398747,Gala
U24,-32.22927107,10.00990731,Upper Tweed
U24,-32.21259486,9.710824223,Upper Tweed
G16,-32.18028192,8.043370408,Gala
G01,-32.12600458,11.47806977,Gala
G09,-32.07214081,11.47739941,Gala
G15,-32.06525687,8.018822676,Gala
G09,-32.01726213,11.73432714,Gala
U07,-32.00093403,6.902842963,Upper Tweed
G16,-31.97026317,7.473345663,Gala
U26,-31.95677324,11.30791017,Upper Tweed
U02,-31.94338141,9.242865788,Upper Tweed
U21,-31.9129982,9.472813938,Upper Tweed
G11,-31.84595758,10.53452534,Gala
U24,-31.81652937,10.25530745,Upper Tweed
U02,-31.80900792,8.595178986,Upper Tweed
U17,-31.80432681,8.234136181,Upper Tweed
U18,-31.79376078,6.723812909,Upper Tweed
U07,-31.77076156,7.11033068,Upper Tweed
G11,-31.76756977,10.31148036,Gala
U22,-31.76272521,12.11548966,Upper Tweed
U37,-31.73579748,6.838023848,Upper Tweed
G16,-31.73440397,8.281468328,Gala
U01,-31.70385133,10.11426987,Upper Tweed
G09,-31.68510571,10.60423654,Gala
G12,-31.6711174,9.829685623,Gala
G12,-31.6608953,9.864488555,Gala
G12,-31.65479127,11.14326959,Gala
G13,-31.65444422,9.854253177,Gala
U31,-31.65013525,7.378615026,Upper Tweed
U02,-31.64590328,9.183615541,Upper Tweed
G16,-31.62943351,7.915522692,Gala
U22,-31.58859904,11.99171084,Upper Tweed
G14,-31.57748287,7.561238635,Gala
G09,-31.57386699,9.910284013,Gala
U18,-31.56363083,6.424583788,Upper Tweed
U07,-31.54639915,7.240208692,Upper Tweed
G10,-31.48852054,9.928740873,Gala
U21,-31.48731743,9.293599603,Upper Tweed
G16,-31.47650741,8.254357879,Gala
U30,-31.47607232,6.782815874,Upper Tweed
G09,-31.41670324,10.48082467,Gala
G13,-31.4019305,10.54824726,Gala
G10,-31.39193396,9.015280894,Gala
G05,-31.38696579,7.895260249,Gala
G12,-31.38561894,10.9840029,Gala
U21,-31.37808372,9.850228449,Upper Tweed
G13,-31.3772813,10.56373965,Gala
G11,-31.37324768,10.97419202,Gala
U01,-31.35621304,9.60713401,Upper Tweed
U07,-31.33120177,7.132774133,Upper Tweed
G16,-31.32137151,8.110231443,Gala
G17,-31.30469821,8.147133818,Gala
G11,-31.29968603,10.94953005,Gala
U02,-31.29272352,9.225040696,Upper Tweed
G13,-31.27032703,9.979460969,Gala
G11,-31.24306009,10.80425448,Gala
U31,-31.21860127,7.981129422,Upper Tweed
U07,-31.20745447,6.84955359,Upper Tweed
U30,-31.20593678,7.555463757,Upper Tweed
U28,-31.18105326,10.39724919,Upper Tweed
U01,-31.16537908,9.793846424,Upper Tweed
G17,-31.15999331,8.177911855,Gala
G09,-31.13511398,11.34522998,Gala
G09,-31.10267105,11.40224176,Gala
U28,-31.0977821,10.12827282,Upper Tweed
U05,-31.09501681,7.2814999,Upper Tweed
U21,-31.08905039,10.17170839,Upper Tweed
U02,-31.05304141,8.402083207,Upper Tweed
G11,-31.0339967,10.71188435,Gala
G12,-31.01626115,10.20937479,Gala
U22,-30.99332994,12.17997161,Upper Tweed
G10,-30.98310431,10.16001047,Gala
U30,-30.9767646,7.700767617,Upper Tweed
G12,-30.96986743,10.091009,Gala
U02,-30.96201968,9.241455285,Upper Tweed
U07,-30.95960343,7.074235711,Upper Tweed
G12,-30.94295303,10.97235026,Gala
U24,-30.93990233,10.01664156,Upper Tweed
G11,-30.91029312,10.81202763,Gala
G09,-30.89229776,10.23472391,Gala
G12,-30.88142837,10.00625315,Gala
G10,-30.85762112,9.877111881,Gala
G11,-30.85074844,11.12174725,Gala
U30,-30.84807283,7.004481749,Upper Tweed
G09,-30.82506153,10.69049188,Gala
U01,-30.82078792,9.663584272,Upper Tweed
U18,-30.80147009,6.860828825,Upper Tweed
G05,-30.79380659,7.64031694,Gala
U31,-30.77315724,7.789935099,Upper Tweed
U37,-30.76922608,8.092018784,Upper Tweed
G12,-30.76189261,11.25589851,Gala
G11,-30.75293326,10.60772504,Gala
G09,-30.73242552,11.39434834,Gala
U21,-30.70868395,9.788256977,Upper Tweed
G09,-30.69636076,12.22280028,Gala
U01,-30.67932483,9.729985693,Upper Tweed
G09,-30.67341597,10.13930321,Gala
G17,-30.67252229,8.338070865,Gala
G11,-30.63542716,10.51739032,Gala
U22,-30.60919365,12.08971938,Upper Tweed
G02,-30.60907643,7.057221305,Gala
G05,-30.60329757,7.101082424,Gala
G05,-30.58005865,8.609865954,Gala
U22,-30.57557681,11.95845498,Upper Tweed
G14,-30.56810113,8.299143402,Gala
U18,-30.56751652,6.381271895,Upper Tweed
G11,-30.54460209,10.52909486,Gala
G10,-30.53870286,10.05636031,Gala
U34,-30.53387386,7.185169519,Upper Tweed
G02,-30.53101502,7.585886194,Gala
U26,-30.52010774,11.26260641,Upper Tweed
U17,-30.51539277,8.092091506,Upper Tweed
U02,-30.49985431,9.746774163,Upper Tweed
U22,-30.49509248,11.59439759,Upper Tweed
G11,-30.49154444,10.48106192,Gala
U37,-30.47397259,8.193037097,Upper Tweed
G14,-30.47122864,7.897309948,Gala
U21,-30.45481396,9.767781506,Upper Tweed
G06,-30.43093315,7.363688283,Gala
U30,-30.42249534,7.266585925,Upper Tweed
G11,-30.3997761,11.03438426,Gala
U30,-30.39443033,6.493179622,Upper Tweed
G06,-30.34846819,6.501860902,Gala
U30,-30.34273687,6.898884252,Upper Tweed
U30,-30.33344388,6.454423394,Upper Tweed
