Site,Trout.Average.d13C,Catchment,Baetis.d13C,differenceN,difference
UTW08,-28.9,Upper Tweed,-31.2,-5.3,-2.3
UTW12,-26.2,Upper Tweed,-27.7,-4.6,-1.5
UTW07,-32,Upper Tweed,-33.7,-4.3,-1.7
UTW30,-30.6,Upper Tweed,-33.9,-5.6,-3.3
GA06,-29.3,Gala,-29.3,-4.4,0
UTW34,-29.1,Upper Tweed,-31.7,-5.2,-2.6
UTW10,-30,Upper Tweed,-31.8,-3.6,-1.9
UTW29,-29.2,Upper Tweed,-28.8,-5.2,0.4
UTW13,-28.1,Upper Tweed,-29.3,-4.1,-1.2
UTW05,-29.9,Upper Tweed,-33.7,-4.2,-3.8
UTW25,-27.7,Upper Tweed,-30.4,-3.8,-2.7
UTW16,-26.5,Upper Tweed,-27.7,-4.7,-1.3
UTW17,-30,Upper Tweed,-33.3,-3.9,-3.3
UTW06,-28.9,Upper Tweed,-30.8,-5.7,-1.8
GA04,-27.6,Gala,-28.1,-5.1,-0.5
GA05,-29.5,Gala,-35.8,-4.7,-6.4
GA21,-26.8,Gala,-26.8,-5.4,0
UTW02,-30.8,Upper Tweed,-31,-2.8,-0.2
UTW01,-30.7,Upper Tweed,-35.7,-3.2,-5
UTW21,-30.5,Upper Tweed,-36.9,-0.8,-6.4
UTW24,-31.6,Upper Tweed,-31.3,-3.8,0.3
GA13,-32,Gala,-37.9,-3.3,-5.9
UTW19,-28.6,Upper Tweed,-30,-3.1,-1.5
GA11,-30.8,Gala,-34.1,-3.1,-3.3
GA01,-31.5,Gala,-36.8,-3.5,-5.3
UTW23,-36.9,Upper Tweed,-41.7,-2.7,-4.9
